symbol,profile,lat_ms,signal_ts,fill_ts,close_ts,side,entry,signal_spread_bp,qsec_buy,qsec_sell,flow5s,markout1_bp,markout5_bp,gross_bp,fees_bp,net_bp,exit_mode
GALAUSDT,loose,10,1787022712000,1787022716968,1787022720477,sell,0.001463,6.837606837607745,48.99262369465217,4.6123737743972875,-0.1703751693734772,-10.252904989746973,-3.417634996581336,-6.835269993164155,4.0,-10.835269993164154,MM
GALAUSDT,loose,10,1787022720500,1787022720551,1787022721733,sell,0.001464,6.832934745472606,97.5992555643957,1.7365955579571766,0.5512202647765855,-3.4153005464485404,-3.4153005464485404,-0.0,4.0,-4.0,MM
GALAUSDT,loose,10,1787022721750,1787022725811,1787022745821,sell,0.001464,6.832934745472606,38.93554837260117,1.7117993522078452,0.3645091836282764,-3.4153005464485404,-10.245901639344142,-20.491803278688284,7.0,-27.491803278688284,MT
GALAUSDT,loose,10,1787022746000,1787022755137,1787022775147,sell,0.001467,6.818956699624384,8.653964053319799,6.2110880000859945,-0.7053988302205914,-3.408316291752327,-10.224948875255503,-6.816632583503176,7.0,-13.816632583503175,MT
GALAUSDT,loose,10,1787022778000,1787022781416,1787022782669,buy,0.001468,6.809669731018949,0.6771079511822825,3.5777359945564298,-0.4267076865414789,-10.217983651226039,-3.4059945504076947,0.0,4.0,-4.0,MM
GALAUSDT,loose,10,1787022782750,1787022782924,1787022783709,buy,0.001469,6.8050357264369925,0.10212945952579126,0.18291863726413105,-0.3269661597356716,-10.211027910142832,-10.211027910142832,-13.614703880190937,7.0,-20.614703880190937,MT
GALAUSDT,balanced,10,1787022609500,1787022610054,1787022610381,buy,0.001455,6.870491240124581,0.2997116689597494,0.3202058767067139,0.615283942946804,17.18213058419323,10.309278350515342,6.872852233677889,4.0,2.8728522336778886,MM
GALAUSDT,balanced,10,1787022613000,1787022614905,1787022615143,sell,0.001456,6.870491240124581,0.03290832562085863,1.7279862686914529,-0.5341237691528985,3.4340659340663895,10.30219780219768,-0.0,4.0,-4.0,MM
GALAUSDT,balanced,10,1787022615250,1787022616333,1787022622972,sell,0.001456,6.870491240124581,0.5415518742948088,0.06396853912300624,-0.36334903140778324,-3.4340659340649005,10.30219780219768,6.868131868132779,4.0,2.868131868132779,MM
GALAUSDT,balanced,10,1787022623000,1787022624000,1787022644010,buy,0.001453,6.8799449604397385,0.7156356163190297,2.8150906280736265,-0.20369132782828347,-24.08809359945112,-37.85271851342105,-89.47006194081204,7.0,-96.47006194081204,MT
GALAUSDT,balanced,10,1787022644250,1787022644797,1787022664807,sell,0.001445,6.922810661129337,0.010751368926450707,0.49638855020759276,-0.5382954325514276,-10.38062283736862,-10.38062283736862,-48.44290657439338,7.0,-55.44290657439338,MT
GALAUSDT,balanced,10,1787022665250,1787022666025,1787022668830,buy,0.001451,6.889424733034212,0.3652557671963242,1.3821562584898806,0.7693560011972246,3.4458993797385693,17.229496898689856,6.891798759475643,4.0,2.891798759475643,MM
GALAUSDT,balanced,10,1787022669250,1787022671729,1787022691739,sell,0.001454,6.8799449604397385,1.4460606348482399,0.28502212197569615,-0.09098874263374014,-10.316368638239217,-17.193947730398197,-48.14305364511735,7.0,-55.14305364511735,MT
GALAUSDT,balanced,10,1787022692000,1787022694535,1787022694965,sell,0.001461,6.8469702156804715,13.692839127097269,2.5147364077525194,0.39254370024501756,-3.422313483915581,-10.266940451745258,-6.844626967829678,4.0,-10.844626967829678,MM
GALAUSDT,balanced,10,1787022696750,1787022701663,1787022704100,buy,0.001463,6.832934745472606,1.2731308215154822,1.9500955912443136,0.8063174572128685,3.417634996581336,3.417634996581336,6.835269993164155,4.0,2.8352699931641547,MM
GALAUSDT,balanced,10,1787022705500,1787022706002,1787022726012,sell,0.001463,6.837606837607745,96.29310963604469,1.2228326170663417,-0.020019425531981445,-3.417634996581336,-3.417634996581336,-20.505809979493947,7.0,-27.505809979493947,MT
GALAUSDT,balanced,10,1787022726250,1787022727259,1787022747269,sell,0.001465,6.828269033799358,11.350650681083653,0.8175084875993563,0.4100349723550492,-3.4129692832769036,-10.23890784982923,-13.651877133106135,7.0,-20.651877133106133,MT
GALAUSDT,balanced,10,1787022748000,1787022753201,1787022754753,sell,0.001467,6.818956699624384,8.472969159764752,2.1809330530649147,-0.7578541568981053,-10.224948875255503,-3.408316291752327,-6.816632583503176,4.0,-10.816632583503175,MM
GALAUSDT,balanced,10,1787022755250,1787022760724,1787022773766,sell,0.001468,6.814310051106752,17.871637943350486,2.2009072602746658,-0.40834611642626867,-3.4059945504091718,3.4059945504076947,-0.0,4.0,-4.0,MM
GALAUSDT,balanced,10,1787022778000,1787022781416,1787022782669,buy,0.001468,6.809669731018949,0.6771079511822825,3.5777359945564298,-0.4267076865414789,-10.217983651226039,-3.4059945504076947,0.0,4.0,-4.0,MM
