strategy,per_side_cost_bps,n,mean_gross_bps,median_gross_bps,mean_net_bps,win_rate,total_net_bps,t_stat_gross,breakeven_per_side_bps
flow_cont_30s,0.0,4720,0.09502413511890732,0.0,0.09502413511890732,0.3603813559322034,448.51391776124257,5.722132695636845,0.04751206755945366
flow_cont_30s,0.5,4720,0.09502413511890732,0.0,-0.9049758648810928,0.12372881355932204,-4271.486082238758,5.722132695636845,0.04751206755945366
flow_cont_30s,1.0,4720,0.09502413511890732,0.0,-1.9049758648810924,0.05,-8991.486082238756,5.722132695636845,0.04751206755945366
flow_cont_30s,2.0,4720,0.09502413511890732,0.0,-3.9049758648810924,0.007838983050847457,-18431.486082238756,5.722132695636845,0.04751206755945366
flow_cont_30s,5.0,4720,0.09502413511890732,0.0,-9.904975864881093,0.0,-46751.486082238756,5.722132695636845,0.04751206755945366
absorption_rev_30s,0.0,905,-0.09477359440806339,0.0,-0.09477359440806339,0.3237569060773481,-85.77010293929737,-2.3487973411332774,-0.047386797204031696
absorption_rev_30s,0.5,905,-0.09477359440806339,0.0,-1.0947735944080634,0.08950276243093923,-990.7701029392974,-2.3487973411332774,-0.047386797204031696
absorption_rev_30s,1.0,905,-0.09477359440806339,0.0,-2.0947735944080637,0.04751381215469613,-1895.7701029392974,-2.3487973411332774,-0.047386797204031696
absorption_rev_30s,2.0,905,-0.09477359440806339,0.0,-4.094773594408063,0.0077348066298342545,-3705.7701029392974,-2.3487973411332774,-0.047386797204031696
absorption_rev_30s,5.0,905,-0.09477359440806339,0.0,-10.094773594408064,0.0,-9135.770102939297,-2.3487973411332774,-0.047386797204031696
flow_persistence_30s,0.0,3597,0.10189096673911242,0.0,0.10189096673911242,0.3944954128440367,366.5018073605874,4.494127160006758,0.05094548336955621
flow_persistence_30s,0.5,3597,0.10189096673911242,0.0,-0.8981090332608876,0.15902140672782875,-3230.498192639413,4.494127160006758,0.05094548336955621
flow_persistence_30s,1.0,3597,0.10189096673911242,0.0,-1.8981090332608876,0.06394217403391715,-6827.498192639413,4.494127160006758,0.05094548336955621
flow_persistence_30s,2.0,3597,0.10189096673911242,0.0,-3.8981090332608876,0.012232415902140673,-14021.498192639412,4.494127160006758,0.05094548336955621
flow_persistence_30s,5.0,3597,0.10189096673911242,0.0,-9.898109033260887,0.0,-35603.49819263941,4.494127160006758,0.05094548336955621
