capture,lat_ms,profile,order_usd,cap_usd,maker_fills,quote_attempts,filled_volume_usd,maker_volume_usd,liquidation_volume_usd,liquidation_share,gross_cash_pnl,fees_usd,net_pnl_usd,net_bp_per_volume,max_inventory_usd
robo_v7,10,symmetric,25.0,300.0,2,28,100.00002805483486,50.0,50.00002805483486,0.500000140274135,-2.805483485701643e-05,0.03500001402741743,-0.03502806886227445,-3.502805903521033,50.01875465710258
robo_v7,10,symmetric,100.0,100.0,1,14,200.07496251874062,99.99999999999999,100.07496251874063,0.5001873360809292,-0.07496251874063375,0.07003748125937032,-0.14500000000000407,-7.24728362682673,100.18740629685158
robo_v7,10,symmetric,100.0,300.0,1,27,200.07496251874062,99.99999999999999,100.07496251874063,0.5001873360809292,-0.07496251874063375,0.07003748125937032,-0.14500000000000407,-7.24728362682673,100.18740629685158
robo_v7,10,tox20,25.0,100.0,0,69,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
robo_v7,10,tox20,25.0,300.0,0,69,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
robo_v7,10,tox20,100.0,100.0,0,69,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
robo_v7,10,tox20,100.0,300.0,0,69,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
robo_v7,10,tox40,25.0,100.0,0,71,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
robo_v7,10,tox40,25.0,300.0,0,71,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
robo_v7,10,tox40,100.0,100.0,0,71,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
robo_v7,10,tox40,100.0,300.0,0,71,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
robo_v7,240,symmetric,25.0,100.0,2,29,100.00002805483486,50.0,50.00002805483486,0.500000140274135,-2.805483485701643e-05,0.03500001402741743,-0.03502806886227445,-3.502805903521033,50.01875465710258
robo_v7,240,symmetric,25.0,300.0,2,30,100.00002805483486,50.0,50.00002805483486,0.500000140274135,-2.805483485701643e-05,0.03500001402741743,-0.03502806886227445,-3.502805903521033,50.01875465710258
robo_v7,240,symmetric,100.0,100.0,1,15,200.07496251874062,99.99999999999999,100.07496251874063,0.5001873360809292,-0.07496251874063375,0.07003748125937032,-0.14500000000000407,-7.24728362682673,100.18740629685158
robo_v7,240,symmetric,100.0,300.0,1,29,200.07496251874062,99.99999999999999,100.07496251874063,0.5001873360809292,-0.07496251874063375,0.07003748125937032,-0.14500000000000407,-7.24728362682673,100.18740629685158
robo_v7,240,tox20,25.0,100.0,1,75,49.9812874251497,25.000000000000004,24.9812874251497,0.499812804193186,0.018712574850301422,0.01749064371257485,0.0012219311377265722,0.24447772369939355,25.00935628742515
robo_v7,240,tox20,25.0,300.0,1,75,49.9812874251497,25.000000000000004,24.9812874251497,0.499812804193186,0.018712574850301422,0.01749064371257485,0.0012219311377265722,0.24447772369939355,25.00935628742515
robo_v7,240,tox20,100.0,100.0,0,75,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
robo_v7,240,tox20,100.0,300.0,0,75,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
robo_v7,240,tox40,25.0,100.0,1,78,49.9812874251497,25.000000000000004,24.9812874251497,0.499812804193186,0.018712574850301422,0.01749064371257485,0.0012219311377265722,0.24447772369939355,25.00935628742515
robo_v7,240,tox40,25.0,300.0,1,78,49.9812874251497,25.000000000000004,24.9812874251497,0.499812804193186,0.018712574850301422,0.01749064371257485,0.0012219311377265722,0.24447772369939355,25.00935628742515
robo_v7,240,tox40,100.0,100.0,0,78,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
robo_v7,240,tox40,100.0,300.0,0,78,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
