symbol,lat_ms,profile,side,signal_ts,fill_ts,entry_px,spread_bp,flow5,mark1_bp,mark5_bp,mark15_bp,value1_bp,value5_bp,value15_bp
GALAUSDT,10,protected,buy,1787023364500,1787023365243,0.001438,6.951685783801987,0.7859876841800805,-3.4770514603620746,3.4770514603620746,17.385257301807357,-5.477051460362075,1.4770514603620746,15.385257301807357
GALAUSDT,10,protected,sell,1787023366500,1787023369433,0.001438,6.956521739131358,-0.2532782628998463,-3.4770514603620746,-10.431154381084717,-3.4770514603620746,-5.477051460362075,-12.431154381084717,-5.477051460362075
GALAUSDT,10,protected,buy,1787023379250,1787023381944,0.00144,6.942034015966095,0.47843210335511505,-3.4722222222226824,-10.416666666666544,-17.361111111111907,-5.472222222222682,-12.416666666666544,-19.361111111111907
GALAUSDT,10,protected,sell,1787023382000,1787023382449,0.001439,6.951685783801987,-0.05839611728611948,3.474635163306807,3.474635163306807,10.423905489923436,1.4746351633068069,1.4746351633068069,8.423905489923436
GALAUSDT,10,protected,buy,1787023387000,1787023387927,0.001438,6.951685783801987,0.18560511081494896,-3.4770514603620746,-3.4770514603620746,-3.4770514603620746,-5.477051460362075,-5.477051460362075,-5.477051460362075
GALAUSDT,10,neutral,sell,1787023288250,1787023290845,0.001435,6.9710700592550205,0.16157710826244256,-10.452961672472233,-3.4843205574917517,-3.4843205574917517,-12.452961672472233,-5.484320557491752,-5.484320557491752
GALAUSDT,10,neutral,sell,1787023305750,1787023307041,0.001436,6.9662138627650005,-0.09640426877458737,-10.44568245125336,3.4818941504167795,-10.44568245125336,-12.44568245125336,1.4818941504167795,-12.44568245125336
GALAUSDT,10,neutral,sell,1787023367250,1787023369433,0.001438,6.956521739131358,-0.1864233784067639,-3.4770514603620746,-10.431154381084717,-3.4770514603620746,-5.477051460362075,-12.431154381084717,-5.477051460362075
GALAUSDT,10,neutral,sell,1787023382000,1787023382449,0.001439,6.951685783801987,-0.05839611728611948,3.474635163306807,3.474635163306807,10.423905489923436,1.4746351633068069,1.4746351633068069,8.423905489923436
GALAUSDT,10,neutral,buy,1787023387000,1787023387927,0.001438,6.951685783801987,0.18560511081494896,-3.4770514603620746,-3.4770514603620746,-3.4770514603620746,-5.477051460362075,-5.477051460362075,-5.477051460362075
GALAUSDT,240,all,sell,1787023283000,1787023283245,0.00143,6.995452955579802,0.8763235209418431,-38.461538461539014,-31.468531468531094,-45.4545454545439,-40.461538461539014,-33.4685314685311,-47.4545454545439
GALAUSDT,240,all,sell,1787023288250,1787023290845,0.001435,6.9710700592550205,0.16157710826244256,-10.452961672472233,-3.4843205574917517,-3.4843205574917517,-12.452961672472233,-5.484320557491752,-5.484320557491752
GALAUSDT,240,all,buy,1787023289000,1787023291865,0.001436,6.961364427427191,-0.1862159801414705,3.4818941504167795,3.4818941504167795,3.4818941504167795,1.4818941504167795,1.4818941504167795,1.4818941504167795
GALAUSDT,240,all,sell,1787023305000,1787023307041,0.001436,6.9662138627650005,-0.4181312113648429,-10.44568245125336,3.4818941504167795,-10.44568245125336,-12.44568245125336,1.4818941504167795,-12.44568245125336
GALAUSDT,240,all,buy,1787023309000,1787023310728,0.001436,6.961364427427191,0.8986424681676377,-3.4818941504167795,3.4818941504167795,10.44568245125336,-5.48189415041678,1.4818941504167795,8.44568245125336
GALAUSDT,240,all,buy,1787023321750,1787023322635,0.001437,6.956521739131358,-0.34934159080627064,3.479471120390163,3.479471120390163,3.479471120390163,1.479471120390163,1.479471120390163,1.479471120390163
GALAUSDT,240,all,buy,1787023339750,1787023340296,0.001437,6.956521739131358,-0.9888786569583048,-17.397355601947794,-17.397355601947794,-3.479471120390163,-19.397355601947794,-19.397355601947794,-5.479471120390163
GALAUSDT,240,all,sell,1787023348250,1787023350875,0.001436,6.9662138627650005,0.5592347936041754,-10.44568245125336,-3.4818941504167795,-10.44568245125336,-12.44568245125336,-5.48189415041678,-12.44568245125336
GALAUSDT,240,all,sell,1787023362000,1787023363950,0.001438,6.956521739131358,0.7253871314124614,-3.4770514603620746,3.4770514603620746,-17.385257301807357,-5.477051460362075,1.4770514603620746,-19.385257301807357
GALAUSDT,240,all,buy,1787023363500,1787023365243,0.001438,6.951685783801987,0.6557393874828686,-3.4770514603620746,3.4770514603620746,17.385257301807357,-5.477051460362075,1.4770514603620746,15.385257301807357
GALAUSDT,240,all,sell,1787023369000,1787023371421,0.001438,6.956521739131358,-0.940563981501075,-10.431154381084717,-10.431154381084717,-3.4770514603620746,-12.431154381084717,-12.431154381084717,-5.477051460362075
GALAUSDT,240,all,sell,1787023376500,1787023378424,0.00144,6.946856547413218,0.3047157446790414,-3.4722222222211774,10.416666666666544,17.361111111111907,-5.472222222221177,8.416666666666544,15.361111111111907
GALAUSDT,240,all,buy,1787023379250,1787023381945,0.00144,6.942034015966095,0.47843210335511505,-3.4722222222226824,-10.416666666666544,-17.361111111111907,-5.472222222222682,-12.416666666666544,-19.361111111111907
GALAUSDT,240,all,buy,1787023387000,1787023387927,0.001438,6.951685783801987,0.18560511081494896,-3.4770514603620746,-3.4770514603620746,-3.4770514603620746,-5.477051460362075,-5.477051460362075,-5.477051460362075
GALAUSDT,240,protected,sell,1787023288500,1787023288854,0.001436,6.9662138627650005,-0.28518343615196057,-3.4818941504167795,-3.4818941504167795,3.4818941504167795,-5.48189415041678,-5.48189415041678,1.4818941504167795
GALAUSDT,240,protected,sell,1787023304250,1787023307119,0.001436,6.9662138627650005,-0.7351364606994032,-10.44568245125336,3.4818941504167795,-10.44568245125336,-12.44568245125336,1.4818941504167795,-12.44568245125336
GALAUSDT,240,protected,buy,1787023307250,1787023308495,0.001437,6.956521739131358,0.7656976769360012,-3.479471120390163,-3.479471120390163,3.479471120390163,-5.479471120390163,-5.479471120390163,1.479471120390163
GALAUSDT,240,protected,buy,1787023364500,1787023365243,0.001438,6.951685783801987,0.7859876841800805,-3.4770514603620746,3.4770514603620746,17.385257301807357,-5.477051460362075,1.4770514603620746,15.385257301807357
GALAUSDT,240,protected,sell,1787023366500,1787023369433,0.001438,6.956521739131358,-0.2532782628998463,-3.4770514603620746,-10.431154381084717,-3.4770514603620746,-5.477051460362075,-12.431154381084717,-5.477051460362075
GALAUSDT,240,protected,buy,1787023379250,1787023381945,0.00144,6.942034015966095,0.47843210335511505,-3.4722222222226824,-10.416666666666544,-17.361111111111907,-5.472222222222682,-12.416666666666544,-19.361111111111907
GALAUSDT,240,protected,buy,1787023387000,1787023387927,0.001438,6.951685783801987,0.18560511081494896,-3.4770514603620746,-3.4770514603620746,-3.4770514603620746,-5.477051460362075,-5.477051460362075,-5.477051460362075
GALAUSDT,240,neutral,sell,1787023288250,1787023290845,0.001435,6.9710700592550205,0.16157710826244256,-10.452961672472233,-3.4843205574917517,-3.4843205574917517,-12.452961672472233,-5.484320557491752,-5.484320557491752
GALAUSDT,240,neutral,sell,1787023305750,1787023307041,0.001436,6.9662138627650005,-0.09640426877458737,-10.44568245125336,3.4818941504167795,-10.44568245125336,-12.44568245125336,1.4818941504167795,-12.44568245125336
GALAUSDT,240,neutral,sell,1787023360750,1787023363950,0.001437,6.961364427427191,-0.1282183923069862,-10.43841336117049,-3.479471120390163,-24.356297842728118,-12.43841336117049,-5.479471120390163,-26.356297842728118
