symbol,family,rid,latency,horizon_s,extra_stress_bps,train_mean_net_bps,train_n,n,mean_gross_bps,mean_net_bps,win_net,t_gross,ci95_low_net,median_gross_bps,p10_gross_bps,p90_gross_bps
BTCUSDT,flow_accel,9,500ms,120,2.0,-9.748744211445906,63,21,-0.359402028519728,-12.359402028519728,0.0,-0.6319779777280257,-13.474042096249779,-0.7684773722489482,-2.6804125487797177,2.730128387593758
BTCUSDT,flow_accel,9,500ms,60,0.0,-9.75790279741218,68,22,0.1705077647262641,-9.829492235273735,0.0,0.6198677410056542,-10.368631791594716,-0.007838213012191864,-1.0769446444010011,1.9195546824577951
BTCUSDT,flow_accel,9,500ms,60,1.0,-9.75790279741218,68,22,0.1705077647262641,-10.829492235273735,0.0,0.6198677410056542,-11.368631791594716,-0.007838213012191864,-1.0769446444010011,1.9195546824577951
BTCUSDT,flow_accel,9,500ms,60,2.0,-9.75790279741218,68,22,0.1705077647262641,-11.829492235273735,0.0,0.6198677410056542,-12.368631791594716,-0.007838213012191864,-1.0769446444010011,1.9195546824577951
BTCUSDT,flow_extreme,5,~250ms,120,0.0,-9.519664344427536,1321,1471,0.29373391235509816,-9.706266087644902,0.006798096532970768,3.7641369502467414,-9.859214419712963,0.015866631442935392,-2.8023111378458174,3.503440461890074
BTCUSDT,flow_extreme,5,~250ms,120,1.0,-9.519664344427536,1321,1471,0.29373391235509816,-10.706266087644902,0.004758667573079538,3.7641369502467414,-10.859214419712963,0.015866631442935392,-2.8023111378458174,3.503440461890074
BTCUSDT,flow_extreme,5,~250ms,120,2.0,-9.519664344427536,1321,1471,0.29373391235509816,-11.706266087644902,0.004758667573079538,3.7641369502467414,-11.859214419712963,0.015866631442935392,-2.8023111378458174,3.503440461890074
BTCUSDT,flow_extreme,5,500ms,120,0.0,-9.53977974272542,1319,1470,0.27913356723606836,-9.720866432763932,0.006802721088435374,3.5991834491790917,-9.87287363092647,0.015866505570103398,-2.8339560841713722,3.482814800613572
BTCUSDT,flow_extreme,5,500ms,120,1.0,-9.53977974272542,1319,1470,0.27913356723606836,-10.720866432763932,0.004761904761904762,3.5991834491790917,-10.87287363092647,0.015866505570103398,-2.8339560841713722,3.482814800613572
BTCUSDT,flow_extreme,5,500ms,120,2.0,-9.53977974272542,1319,1470,0.27913356723606836,-11.720866432763932,0.004081632653061225,3.5991834491790917,-11.87287363092647,0.015866505570103398,-2.8339560841713722,3.482814800613572
