trade_id,ts,price,qty,buyer_maker
318542202,1787024867845,0.001388,1183956.0,True
318542203,1787024867852,0.001388,616432.0,False
318542204,1787024867941,0.001389,4031009.0,False
318542205,1787024867946,0.001389,676583.0,True
318542206,1787024868530,0.001389,50353.0,False
318542207,1787024868557,0.001388,2386.0,True
318542208,1787024869164,0.001388,56724.0,True
318542209,1787024869715,0.001388,5142.0,True
318542210,1787024869894,0.001389,947552.0,False
318542211,1787024871199,0.001389,2813.0,True
318542212,1787024871644,0.001389,1891779.0,True
318542213,1787024871644,0.001388,1103704.0,True
318542214,1787024872161,0.001388,3618.0,True
318542215,1787024872345,0.001388,3495.0,True
318542216,1787024872641,0.001389,43471.0,False
318542217,1787024873387,0.001388,4995.0,True
318542218,1787024874717,0.001388,11552.0,True
318542219,1787024875299,0.001389,1922879.0,False
318542220,1787024875763,0.001389,5971.0,True
318542221,1787024876869,0.001389,5203.0,True
318542222,1787024877184,0.00139,502568.0,False
318542223,1787024877454,0.00139,602365.0,False
318542224,1787024877479,0.00139,53766.0,True
318542225,1787024877889,0.00139,4615.0,True
318542226,1787024878114,0.001391,24884.0,False
318542227,1787024878813,0.001391,1476096.0,False
318542228,1787024878822,0.001391,35971.0,True
318542229,1787024879037,0.001391,6465.0,True
318542230,1787024879732,0.001392,5746.0,False
318542231,1787024879881,0.001392,657283.0,False
318542232,1787024879884,0.001393,308053.0,False
318542233,1787024880086,0.001392,3992.0,True
318542234,1787024880128,0.001393,404266.0,False
318542235,1787024880147,0.001394,118526.0,False
318542236,1787024880170,0.001393,774524.0,True
318542237,1787024880353,0.001392,1554549.0,True
318542238,1787024880458,0.001391,610651.0,True
318542239,1787024880552,0.001392,4598.0,False
318542240,1787024881200,0.001391,3952.0,True
318542241,1787024881934,0.001391,399091.0,True
318542242,1787024882077,0.00139,612659.0,True
318542243,1787024882294,0.001389,3380.0,True
318542244,1787024882833,0.001389,3689.0,True
318542245,1787024882987,0.001389,4212.0,True
318542246,1787024883048,0.00139,1067705.0,False
318542247,1787024883433,0.00139,3443.0,True
318542248,1787024884155,0.00139,22949.0,True
318542249,1787024884625,0.001391,416153.0,False
318542250,1787024884651,0.001391,83262.0,True
318542251,1787024884840,0.001391,3975.0,True
318542252,1787024885009,0.001391,4354.0,True
318542253,1787024885901,0.001391,4546.0,True
318542254,1787024886604,0.001391,25191.0,True
318542255,1787024886797,0.001391,30198.0,True
318542256,1787024886975,0.001391,4886.0,True
318542257,1787024887604,0.001392,946252.0,False
318542258,1787024887919,0.001393,519539.0,False
318542259,1787024887975,0.001392,3069.0,True
318542260,1787024888365,0.001392,3820.0,True
318542261,1787024889171,0.001392,3536.0,True
318542262,1787024889361,0.001392,6741.0,True
318542263,1787024890172,0.001393,4912.0,False
318542264,1787024890241,0.001392,6464.0,True
318542265,1787024890607,0.001393,1131119.0,False
318542266,1787024890650,0.001394,10762.0,False
318542267,1787024891187,0.001393,8366.0,True
318542268,1787024891309,0.001393,2503.0,True
318542269,1787024891864,0.001393,29257.0,True
318542270,1787024892523,0.001393,5031.0,True
318542271,1787024892682,0.001394,1127972.0,False
318542272,1787024892686,0.001395,1666789.0,False
318542273,1787024893032,0.001394,390009.0,True
318542274,1787024893208,0.001394,20926.0,True
318542275,1787024893537,0.001394,2742.0,True
318542276,1787024893550,0.001395,13181.0,False
318542277,1787024893695,0.001395,133211.0,False
318542278,1787024893730,0.001394,1791999.0,True
318542279,1787024894019,0.001394,168865.0,True
318542280,1787024894537,0.001395,50351.0,False
318542281,1787024894837,0.001394,5179.0,True
318542282,1787024896009,0.001394,5130.0,True
318542283,1787024896255,0.001395,998911.0,False
318542284,1787024896258,0.001396,463426.0,False
318542285,1787024897125,0.001395,5936.0,True
318542286,1787024897134,0.001396,25218.0,False
318542287,1787024897386,0.001395,7521.0,True
318542288,1787024897585,0.001395,10768.0,True
318542289,1787024898147,0.001395,5478.0,True
318542290,1787024898443,0.001395,890974.0,True
318542291,1787024898508,0.001395,323422.0,False
318542292,1787024899081,0.001394,4725.0,True
318542293,1787024899432,0.001394,4783151.0,True
318542294,1787024899563,0.001395,1441705.0,False
318542295,1787024899563,0.001396,181149.0,False
318542296,1787024899566,0.001395,259180.0,False
318542297,1787024900341,0.001394,5416.0,True
318542298,1787024900476,0.001395,38329.0,False
318542299,1787024901679,0.001394,3069236.0,True
318542300,1787024901892,0.001393,446016.0,True
318542301,1787024902072,0.001392,196919.0,True
318542302,1787024902381,0.001392,348494.0,False
318542303,1787024902783,0.001391,5204.0,True
318542304,1787024902863,0.001392,143369.0,False
318542305,1787024903881,0.001391,3448.0,True
318542306,1787024904897,0.001391,3045.0,True
318542307,1787024904981,0.001392,1210970.0,False
318542308,1787024905301,0.001392,91296.0,True
318542309,1787024906061,0.001392,6317.0,True
318542310,1787024906601,0.001393,4546.0,False
318542311,1787024906731,0.001393,29507.0,False
318542312,1787024907411,0.001392,4118.0,True
318542313,1787024908578,0.001393,783642.0,False
318542314,1787024908605,0.001393,3132.0,True
318542315,1787024909825,0.001393,4901.0,True
318542316,1787024909952,0.001394,608028.0,False
318542317,1787024910881,0.001394,54905.0,True
318542318,1787024911100,0.001394,3946.0,True
318542319,1787024911134,0.001393,1891784.0,True
318542320,1787024911755,0.001393,380688.0,False
318542321,1787024912095,0.001392,3310.0,True
